:END_ID(Level1),:START_ID(Dataset)
7178198589635769934,1019022409013063841
3687553084448204403,1019022409013063841
1943445535474465235,1019022409013063841
8012164782174206766,1019022409013063841
-7389108417569093785,1019022409013063841
-728217569089133475,1019022409013063841
6960935134783915795,1019022409013063841
-5167915521272026148,1019022409013063841
2348305903358056917,1019022409013063841
-3475281094735638511,1019022409013063841
-3138709552847895850,1019022409013063841
-3143502332910842384,1019022409013063841
-7996212543680008604,1019022409013063841
5913057663282555009,1019022409013063841
-2491898835998581138,1019022409013063841
1051805105521889703,1019022409013063841
963962674695069115,1019022409013063841
7469546833942606820,1019022409013063841
-2928924906726301425,1019022409013063841
-2478812145464808967,1019022409013063841
-2947880525219886908,1019022409013063841
-5310282112942953666,1019022409013063841
1571256749424771620,1019022409013063841
3842008697417954940,1019022409013063841
-2720987817351470569,1019022409013063841
-4243208980209639828,1019022409013063841
-5462592189309300418,1019022409013063841
-3821696873777697308,1019022409013063841
-8069402827167259554,6422294291210073133
6773259240452190001,6422294291210073133
4623001161828250376,6422294291210073133
-3581022943095893333,6422294291210073133
8479002869407708621,-6718914442361357944
